"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"d:\mcpx-client\mcp-x\.bolt\config.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\mcpx-client\mcp-x\eslint.config.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"d:\mcpx-client\mcp-x\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 16
"d:\mcpx-client\mcp-x\out\linecount.json", "JSON", 364, 0, 0, 0, 0, 0, 0, 0, 0, 364
"d:\mcpx-client\mcp-x\package-lock.json", "JSON", 7146, 0, 0, 0, 0, 0, 0, 0, 1, 7147
"d:\mcpx-client\mcp-x\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"d:\mcpx-client\mcp-x\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\mcpx-client\mcp-x\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 2, 43
"d:\mcpx-client\mcp-x\src\components\layout\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 91, 0, 0, 2, 7, 100
"d:\mcpx-client\mcp-x\src\components\layout\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 186, 0, 0, 19, 11, 216
"d:\mcpx-client\mcp-x\src\components\ui\Badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"d:\mcpx-client\mcp-x\src\components\ui\CategorySection.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 0, 1, 6, 81
"d:\mcpx-client\mcp-x\src\components\ui\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\mcpx-client\mcp-x\src\components\ui\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 1, 5, 60
"d:\mcpx-client\mcp-x\src\components\ui\ServerCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 6, 6, 51
"d:\mcpx-client\mcp-x\src\components\ui\UsageBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"d:\mcpx-client\mcp-x\src\components\ui\VerifiedBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\mcpx-client\mcp-x\src\config\index.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 3, 3, 15
"d:\mcpx-client\mcp-x\src\data\servers.ts", "TypeScript", 0, 0, 0, 6042, 0, 0, 0, 1, 9, 6052
"d:\mcpx-client\mcp-x\src\data\servers_api.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 16, 14, 101
"d:\mcpx-client\mcp-x\src\index.css", "CSS", 0, 0, 0, 0, 0, 51, 0, 4, 13, 68
"d:\mcpx-client\mcp-x\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\mcpx-client\mcp-x\src\pages\AboutPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 8, 62
"d:\mcpx-client\mcp-x\src\pages\AddServerPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 150, 0, 0, 1, 17, 168
"d:\mcpx-client\mcp-x\src\pages\CareersPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 9, 116
"d:\mcpx-client\mcp-x\src\pages\ContactPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 146, 0, 0, 0, 14, 160
"d:\mcpx-client\mcp-x\src\pages\DownloadPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 216, 0, 0, 7, 13, 236
"d:\mcpx-client\mcp-x\src\pages\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 189, 0, 0, 13, 17, 219
"d:\mcpx-client\mcp-x\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 131, 0, 0, 1, 11, 143
"d:\mcpx-client\mcp-x\src\pages\PricingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 172, 0, 0, 0, 10, 182
"d:\mcpx-client\mcp-x\src\pages\PrivacyPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 9, 92
"d:\mcpx-client\mcp-x\src\pages\ServerDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 633, 0, 0, 26, 57, 716
"d:\mcpx-client\mcp-x\src\pages\SettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 229, 0, 0, 135, 23, 387
"d:\mcpx-client\mcp-x\src\pages\SignupPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 199, 0, 0, 1, 15, 215
"d:\mcpx-client\mcp-x\src\pages\TermsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 10, 92
"d:\mcpx-client\mcp-x\src\services\api.ts", "TypeScript", 0, 0, 0, 285, 0, 0, 0, 49, 40, 374
"d:\mcpx-client\mcp-x\src\styles\markdown.css", "CSS", 0, 0, 0, 0, 0, 110, 0, 0, 19, 129
"d:\mcpx-client\mcp-x\src\types\global.d.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\mcpx-client\mcp-x\src\types\index.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 2, 51
"d:\mcpx-client\mcp-x\src\utils\jsencrypt.js.d.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\mcpx-client\mcp-x\src\utils\jsencrypt.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 3, 7, 31
"d:\mcpx-client\mcp-x\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 3, 11
"d:\mcpx-client\mcp-x\tailwind.config.js", "JavaScript", 0, 0, 94, 0, 0, 0, 0, 1, 1, 96
"d:\mcpx-client\mcp-x\tsconfig.app.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\mcpx-client\mcp-x\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\mcpx-client\mcp-x\tsconfig.node.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"d:\mcpx-client\mcp-x\vite.config.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 6, 3, 40
"Total", "-", 7595, 7, 127, 6534, 2945, 161, 16, 302, 388, 18075
